gene	genome	ec.num	gene.length
trach_1 	 2 	  	 1179 
trach_2 	 2 	  	 273 
trach_3 	 2 	 6.3. 	 303 
trach_4 	 2 	 6.3. 	 1476 
trach_5 	 2 	 6.3. 	 1467 
trach_8 	 2 	  	 141 
trach_9 	 2 	  	 951 
trach_10 	 2 	 3.1. 	 903 
trach_11 	 2 	  	 117 
trach_12 	 2 	  	 1368 
trach_13 	 2 	  	 432 
trach_14 	 2 	  	 1257 
trach_15 	 2 	  	 693 
trach_16 	 2 	  	 1341 
trach_17 	 2 	 1.10 	 1062 
trach_18 	 2 	  	 1305 
trach_19 	 2 	  	 729 
trach_20 	 2 	  	 1323 
trach_21 	 2 	  	 474 
trach_22 	 2 	  	 159 
trach_23 	 2 	  	 135 
trach_24 	 2 	 6.1. 	 3111 
trach_25 	 2 	 3.4. 	 1872 
trach_26 	 2 	  	 744 
trach_27 	 2 	  	 327 
trach_28 	 2 	  	 1080 
trach_29 	 2 	 2.1. 	 873 
trach_30 	 2 	  	 1347 
trach_31 	 2 	  	 351 
trach_32 	 2 	  	 1059 
trach_33 	 2 	  	 366 
trach_34 	 2 	  	 654 
trach_35 	 2 	 2.7. 	 618 
trach_36 	 2 	  	 303 
trach_37 	 2 	  	 117 
trach_38 	 2 	 6.1. 	 1653 
trach_39 	 2 	  	 2241 
trach_40 	 2 	  	 1026 
trach_42 	 2 	  	 774 
trach_43 	 2 	  	 114 
trach_45 	 2 	  	 345 
trach_46 	 2 	 3.5. 	 573 
trach_47 	 2 	  	 147 
trach_48 	 2 	 3.6. 	 1005 
trach_49 	 2 	  	 813 
trach_50 	 2 	 3.2. 	 2001 
trach_51 	 2 	  	 504 
trach_52 	 2 	  	 474 
trach_53 	 2 	  	 1500 
trach_54 	 2 	  	 492 
trach_55 	 2 	  	 153 
trach_56 	 2 	  	 945 
trach_57 	 2 	  	 714 
trach_58 	 2 	  	 1473 
trach_59 	 2 	  	 1611 
trach_60 	 2 	  	 1563 
trach_61 	 2 	  	 1137 
trach_62 	 2 	  	 447 
trach_63 	 2 	  	 138 
trach_64 	 2 	 1.2. 	 2718 
trach_65 	 2 	 2.3. 	 1098 
trach_66 	 2 	  	 732 
trach_67 	 2 	 1.17 	 1809 
trach_68 	 2 	  	 687 
trach_69 	 2 	  	 396 
trach_70 	 2 	  	 276 
trach_72 	 2 	  	 249 
trach_73 	 2 	  	 1611 
trach_74 	 2 	  	 762 
trach_75 	 2 	 6.1. 	 1239 
trach_76 	 2 	 1.1. 	 1443 
trach_77 	 2 	 3.6. 	 1809 
trach_78 	 2 	  	 1587 
trach_79 	 2 	  	 477 
trach_80 	 2 	  	 723 
trach_81 	 2 	  	 780 
trach_82 	 2 	  	 1356 
trach_83 	 2 	  	 957 
trach_84 	 2 	 1.1. 	 1140 
trach_85 	 2 	 3.4. 	 1860 
trach_86 	 2 	  	 1098 
trach_87 	 2 	 2.7. 	 1101 
trach_88 	 2 	  	 855 
trach_89 	 2 	  	 456 
trach_90 	 2 	  	 864 
trach_91 	 2 	  	 444 
trach_92 	 2 	  	 294 
trach_93 	 2 	  	 1683 
trach_94 	 2 	  	 483 
trach_95 	 2 	  	 1086 
trach_96 	 2 	  	 1740 
trach_97 	 2 	  	 270 
trach_98 	 2 	 2.4. 	 1584 
trach_99 	 2 	  	 441 
trach_100 	 2 	  	 1266 
trach_101 	 2 	  	 2013 
trach_102 	 2 	  	 1083 
trach_103 	 2 	  	 153 
trach_104 	 2 	  	 1095 
trach_105 	 2 	 2.7. 	 897 
trach_106 	 2 	 5.4. 	 726 
trach_107 	 2 	  	 372 
trach_108 	 2 	  	 2646 
trach_109 	 2 	  	 1305 
trach_110 	 2 	  	 117 
trach_111 	 2 	  	 1710 
trach_112 	 2 	 1.8. 	 939 
trach_113 	 2 	 2.7. 	 360 
trach_114 	 2 	  	 453 
trach_115 	 2 	  	 462 
trach_116 	 2 	  	 894 
trach_117 	 2 	  	 897 
trach_118 	 2 	  	 1971 
trach_119 	 2 	  	 912 
trach_120 	 2 	 3.2. 	 1110 
trach_121 	 2 	  	 756 
trach_122 	 2 	  	 789 
trach_123 	 2 	  	 1635 
trach_124 	 2 	  	 309 
trach_125 	 2 	 3.4. 	 1827 
trach_126 	 2 	  	 114 
trach_127 	 2 	  	 123 
trach_128 	 2 	  	 2604 
trach_129 	 2 	  	 1401 
trach_130 	 2 	  	 426 
trach_131 	 2 	  	 399 
trach_132 	 2 	  	 126 
trach_133 	 2 	  	 303 
trach_134 	 2 	  	 465 
trach_135 	 2 	  	 822 
trach_136 	 2 	 5.1. 	 687 
trach_137 	 2 	  	 558 
trach_138 	 2 	  	 495 
trach_139 	 2 	 6.3. 	 1374 
trach_140 	 2 	  	 453 
trach_141 	 2 	  	 402 
trach_142 	 2 	  	 852 
trach_143 	 2 	 2.7. 	 738 
trach_144 	 2 	  	 645 
trach_145 	 2 	  	 702 
trach_146 	 2 	  	 3417 
trach_147 	 2 	  	 1278 
trach_148 	 2 	  	 804 
trach_149 	 2 	  	 414 
trach_150 	 2 	  	 1083 
trach_151 	 2 	  	 720 
